Temperature (°C) Run #1;Absolute Pressure (kPa) Run #1;V (ml) Set
25,88;102,987;60
25,90;113,054;55
25,91;123,690;50
25,90;137,468;45
25,90;153,873;40
25,92;174,746;35
25,93;202,907;30
25,92;239,676;25
