Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
0,000	-0,002			-3,7500E-5			99,449	5,32	68,2
0,050	-0,014	-0,251		-3,3750E-4	-0,006		99,490	5,33	
0,100	-0,027	-0,251	0,000	-6,3750E-4	-0,006	0,000	99,484	5,32	
0,150	-0,039	-0,251	0,052	-9,3750E-4	-0,006	0,001	99,481	5,32	
0,200	-0,052	-0,246	0,087	-0,0012	-0,006	0,002	99,497	5,33	
0,250	-0,064	-0,241	0,122	-0,0015	-0,006	0,003	99,475	5,33	
0,300	-0,075	-0,236	0,157	-0,0018	-0,006	0,004	99,453	5,32	
0,350	-0,088	-0,225	0,192	-0,0021	-0,005	0,005	99,444	5,32	
0,400	-0,099	-0,215	0,192	-0,0024	-0,005	0,005	99,451	5,32	
0,450	-0,108	-0,204	0,140	-0,0026	-0,005	0,003	99,473	5,33	
0,500	-0,119	-0,199	0,087	-0,0029	-0,005	0,002	99,457	5,32	68,2
0,550	-0,129	-0,199	0,070	-0,0031	-0,005	0,002	99,481	5,32	
0,600	-0,138	-0,194	0,087	-0,0033	-0,005	0,002	99,468	5,32	
0,650	-0,149	-0,188	0,087	-0,0036	-0,005	0,002	99,449	5,32	
0,700	-0,157	-0,183	0,035	-0,0038	-0,004	8,333E-4	99,453	5,33	
0,750	-0,167	-0,183	-0,017	-0,0040	-0,004	-4,167E-4	99,457	5,32	
0,800	-0,176	-0,188	-0,035	-0,0042	-0,005	-8,333E-4	99,436	5,33	
0,850	-0,185	-0,188	-0,017	-0,0044	-0,005	-4,167E-4	99,486	5,32	
0,900	-0,195	-0,188	0,000	-0,0047	-0,005	2,602E-17	99,477	5,33	
0,950	-0,204	-0,188	0,000	-0,0049	-0,004	-2,602E-17	99,477	5,32	
1,000	-0,214	-0,188	8,327E-16	-0,0051	-0,005	0,000	99,462	5,32	68,2
1,050	-0,223	-0,188	-2,776E-16	-0,0053	-0,005	6,939E-17	99,457	5,33	
1,100	-0,232	-0,188	-2,220E-15	-0,0056	-0,004	6,939E-17	99,481	5,32	
1,150	-0,242	-0,188	-1,943E-15	-0,0058	-0,004	-5,204E-17	99,446	5,32	
1,200	-0,251	-0,188	0,000	-0,0060	-0,005	-1,041E-16	99,462	5,33	
1,250	-0,261	-0,188	0,017	-0,0062	-0,005	4,167E-4	99,457	5,32	
1,300	-0,270	-0,188	0,052	-0,0065	-0,005	0,001	99,479	5,32	
1,350	-0,280	-0,183	0,070	-0,0067	-0,004	0,002	99,492	5,32	
1,400	-0,289	-0,178	0,052	-0,0069	-0,004	0,001	99,484	5,33	
1,450	-0,297	-0,178	0,017	-0,0071	-0,004	4,167E-4	99,475	5,33	
1,500	-0,306	-0,178	0,017	-0,0073	-0,004	4,167E-4	99,481	5,32	68,2
1,550	-0,316	-0,178	0,052	-0,0075	-0,004	0,001	99,481	5,32	
1,600	-0,324	-0,173	0,087	-0,0077	-0,004	0,002	99,501	5,32	
1,650	-0,333	-0,168	0,105	-0,0080	-0,004	0,002	99,514	5,33	
1,700	-0,341	-0,162	0,087	-0,0081	-0,004	0,002	99,536	5,33	
1,750	-0,349	-0,157	0,070	-0,0083	-0,004	0,002	99,468	5,32	
1,800	-0,357	-0,157	0,070	-0,0085	-0,004	0,002	99,510	5,32	
1,850	-0,364	-0,152	0,070	-0,0087	-0,004	0,002	99,521	5,33	
1,900	-0,372	-0,147	0,035	-0,0089	-0,004	8,333E-4	99,532	5,32	
1,950	-0,379	-0,147	-0,035	-0,0090	-0,004	-8,333E-4	99,488	5,32	
2,000	-0,386	-0,152	-0,070	-0,0092	-0,004	-0,002	99,530	5,33	68,2
2,050	-0,394	-0,157	-0,035	-0,0094	-0,004	-8,333E-4	99,519	5,32	
2,100	-0,402	-0,157	0,035	-0,0096	-0,004	8,333E-4	99,488	5,33	
2,150	-0,410	-0,152	0,070	-0,0098	-0,004	0,002	99,512	5,33	
2,200	-0,418	-0,147	0,035	-0,0100	-0,004	8,333E-4	99,549	5,33	
2,250	-0,424	-0,147	-0,052	-0,0101	-0,004	-0,001	99,530	5,33	
2,300	-0,432	-0,152	-0,122	-0,0103	-0,004	-0,003	99,495	5,33	
2,350	-0,440	-0,162	-0,140	-0,0105	-0,004	-0,003	99,477	5,33	
2,400	-0,448	-0,168	-0,122	-0,0107	-0,004	-0,003	99,486	5,33	
2,450	-0,457	-0,173	-0,105	-0,0109	-0,004	-0,003	99,501	5,33	
2,500	-0,465	-0,178	-0,105	-0,0111	-0,004	-0,002	99,495	5,33	68,3
2,550	-0,474	-0,183	-0,070	-0,0113	-0,004	-0,002	99,505	5,33	
2,600	-0,484	-0,188	-2,220E-15	-0,0116	-0,004	1,128E-16	99,505	5,32	
2,650	-0,493	-0,183	0,052	-0,0118	-0,004	0,001	99,519	5,33	
2,700	-0,503	-0,178	0,052	-0,0120	-0,004	0,001	99,495	5,33	
2,750	-0,511	-0,178	0,017	-0,0122	-0,004	4,167E-4	99,510	5,33	
2,800	-0,520	-0,178	0,000	-0,0124	-0,004	0,000	99,501	5,33	
2,850	-0,529	-0,178	-0,017	-0,0126	-0,004	-4,167E-4	99,516	5,33	
2,900	-0,537	-0,178	-0,035	-0,0128	-0,004	-8,333E-4	99,486	5,33	
2,950	-0,547	-0,183	-0,017	-0,0131	-0,004	-4,167E-4	99,536	5,34	
3,000	-0,556	-0,183	0,035	-0,0133	-0,004	8,333E-4	99,514	5,33	68,3
3,050	-0,565	-0,178	0,087	-0,0135	-0,004	0,002	99,477	5,34	
