Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
0,000	0,000			0,0000			99,597	4,57	55,3
0,050	0,000	0,000		0,0000	0,000		99,595	4,58	
0,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,589	4,57	
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,593	4,58	
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,593	4,57	
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,562	4,59	
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	4,57	
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,567	4,58	
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,545	4,57	
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,597	4,58	
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,597	4,57	55,3
0,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	4,58	
0,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,591	4,58	
0,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,554	4,58	
0,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,578	4,58	
0,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,584	4,58	
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,584	4,58	
0,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,560	4,58	
0,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,580	4,58	
0,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	4,58	
1,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,599	4,58	55,3
1,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,558	4,58	
1,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,604	4,58	
1,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,606	4,58	
1,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,586	4,58	
1,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,589	4,57	
1,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,549	4,58	
1,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,564	4,59	
1,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,549	4,59	
1,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,564	4,58	
1,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,589	4,58	55,3
1,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,586	4,58	
1,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,567	4,57	
1,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,610	4,59	
1,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	4,59	
1,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,580	4,58	
1,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,569	4,59	
1,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,582	4,58	
1,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,580	4,59	
1,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,602	4,59	
2,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,554	4,58	55,3
2,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,591	4,59	
2,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,562	4,58	
2,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,595	4,59	
2,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,589	4,59	
2,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,560	4,58	
2,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,610	4,59	
2,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,599	4,59	
2,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,567	4,58	
2,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,582	4,58	
2,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	4,59	55,3
2,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,595	4,59	
2,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,589	4,58	
2,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,619	4,60	
2,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,586	4,58	
2,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,575	4,59	
2,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	4,59	
2,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	4,59	
2,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	4,58	
2,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,580	4,59	
3,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,567	4,58	55,3
3,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,591	4,59	
3,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,591	4,59	
