Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
0,000	0,000			0,0000			99,471	6,53	75,2
0,050	-0,003	-0,047		-7,5000E-5	-0,001		99,501	6,53	
0,100	-0,005	-0,047	0,052	-1,1250E-4	-0,001	0,001	99,538	6,52	
0,150	-0,008	-0,042	0,070	-1,8750E-4	-0,001	0,002	99,530	6,53	
0,200	-0,009	-0,037	0,035	-2,2500E-4	-8,750E-4	8,333E-4	99,479	6,53	
0,250	-0,011	-0,037	-0,017	-2,6250E-4	-8,750E-4	-4,167E-4	99,497	6,52	
0,300	-0,013	-0,042	-0,017	-3,0000E-4	-1,000E-3	-4,167E-4	99,488	6,52	
0,350	-0,016	-0,042	0,035	-3,7500E-4	-1,000E-3	8,333E-4	99,503	6,52	
0,400	-0,017	-0,037	0,070	-4,1250E-4	-8,750E-4	0,002	99,512	6,52	
0,450	-0,019	-0,031	0,052	-4,5000E-4	-7,500E-4	0,001	99,499	6,52	
0,500	-0,020	-0,031	0,017	-4,8750E-4	-7,500E-4	4,167E-4	99,512	6,51	75,2
0,550	-0,022	-0,031	-6,939E-17	-5,2500E-4	-7,500E-4	2,168E-18	99,540	6,51	
0,600	-0,024	-0,031	-6,939E-17	-5,6250E-4	-7,500E-4	3,253E-18	99,490	6,50	
0,650	-0,025	-0,031	0,000	-6,0000E-4	-7,500E-4	1,084E-18	99,497	6,50	
0,700	-0,027	-0,031	0,000	-6,3750E-4	-7,500E-4	0,000	99,523	6,50	
0,750	-0,028	-0,031	6,939E-17	-6,7500E-4	-7,500E-4	0,000	99,499	6,50	
0,800	-0,030	-0,031	0,000	-7,1250E-4	-7,500E-4	0,000	99,530	6,50	
0,850	-0,031	-0,031	-6,939E-17	-7,5000E-4	-7,500E-4	0,000	99,514	6,49	
0,900	-0,033	-0,031	0,000	-7,8750E-4	-7,500E-4	0,000	99,523	6,49	
0,950	-0,035	-0,031	6,939E-17	-8,2500E-4	-7,500E-4	0,000	99,540	6,48	
1,000	-0,036	-0,031	2,082E-16	-8,6250E-4	-7,500E-4	3,253E-18	99,527	6,49	75,2
1,050	-0,038	-0,031	0,017	-9,0000E-4	-7,500E-4	4,167E-4	99,534	6,49	
1,100	-0,039	-0,031	0,052	-9,3750E-4	-7,500E-4	0,001	99,503	6,48	
1,150	-0,041	-0,026	0,070	-9,7500E-4	-6,250E-4	0,002	99,523	6,48	
1,200	-0,042	-0,021	0,035	-0,0010	-5,000E-4	8,333E-4	99,501	6,48	
1,250	-0,042	-0,021	-0,017	-0,0010	-5,000E-4	-4,167E-4	99,514	6,48	
1,300	-0,044	-0,026	-0,017	-0,0010	-6,250E-4	-4,167E-4	99,523	6,48	
1,350	-0,046	-0,026	0,017	-0,0011	-6,250E-4	4,167E-4	99,519	6,48	
1,400	-0,047	-0,021	0,035	-0,0011	-5,000E-4	8,333E-4	99,505	6,48	
1,450	-0,047	-0,021	0,017	-0,0011	-5,000E-4	4,167E-4	99,527	6,47	
1,500	-0,049	-0,021	6,939E-17	-0,0012	-5,000E-4	1,735E-17	99,519	6,46	75,2
1,550	-0,050	-0,021	6,939E-17	-0,0012	-5,000E-4	9,758E-18	99,516	6,46	
1,600	-0,050	-0,021	0,000	-0,0012	-5,000E-4	-7,589E-18	99,471	6,46	
1,650	-0,052	-0,021	-6,939E-17	-0,0012	-5,000E-4	-1,735E-17	99,492	6,46	
1,700	-0,053	-0,021	-6,939E-17	-0,0013	-5,000E-4	-9,758E-18	99,532	6,45	
1,750	-0,053	-0,021	6,939E-17	-0,0013	-5,000E-4	1,084E-17	99,495	6,46	
1,800	-0,055	-0,021	0,017	-0,0013	-5,000E-4	4,167E-4	99,532	6,45	
1,850	-0,057	-0,021	0,035	-0,0013	-5,000E-4	8,333E-4	99,527	6,45	
1,900	-0,057	-0,016	0,017	-0,0013	-3,750E-4	4,167E-4	99,523	6,45	
1,950	-0,058	-0,016	-0,017	-0,0014	-3,750E-4	-4,167E-4	99,516	6,45	
2,000	-0,058	-0,021	-0,035	-0,0014	-5,000E-4	-8,333E-4	99,536	6,45	75,2
2,050	-0,060	-0,021	-3,469E-17	-0,0014	-5,000E-4	6,505E-18	99,516	6,45	
2,100	-0,061	-0,021	0,035	-0,0015	-5,000E-4	8,333E-4	99,508	6,44	
2,150	-0,061	-0,016	0,035	-0,0015	-3,750E-4	8,333E-4	99,508	6,44	
2,200	-0,063	-0,016	0,017	-0,0015	-3,750E-4	4,167E-4	99,514	6,44	
2,250	-0,063	-0,016	-1,041E-16	-0,0015	-3,750E-4	-1,247E-17	99,503	6,44	
2,300	-0,064	-0,016	-5,551E-16	-0,0015	-3,750E-4	-1,030E-17	99,532	6,44	
2,350	-0,064	-0,016	-3,469E-16	-0,0015	-3,750E-4	-2,711E-18	99,510	6,44	
2,400	-0,066	-0,016	-1,388E-16	-0,0016	-3,750E-4	-2,168E-18	99,525	6,44	
