Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
0,000	0,000			0,0000			99,495	4,90	63,5
0,050	0,000	-0,016		0,0000	-3,750E-4		99,481	4,89	
0,100	-0,002	-0,021	-0,052	-3,7500E-5	-5,000E-4	-0,001	99,484	4,87	
0,150	-0,003	-0,021	0,017	-7,5000E-5	-5,000E-4	4,167E-4	99,484	4,86	
0,200	-0,003	-0,016	0,017	-7,5000E-5	-3,750E-4	4,167E-4	99,479	4,85	
0,250	-0,005	-0,016	-0,017	-1,1250E-4	-3,750E-4	-4,167E-4	99,486	4,84	
0,300	-0,005	-0,021	-0,035	-1,1250E-4	-5,000E-4	-8,333E-4	99,495	4,84	
0,350	-0,006	-0,021	-3,469E-17	-1,5000E-4	-5,000E-4	0,000	99,477	4,83	
0,400	-0,008	-0,021	0,035	-1,8750E-4	-5,000E-4	8,333E-4	99,481	4,83	
0,450	-0,008	-0,016	0,017	-1,8750E-4	-3,750E-4	4,167E-4	99,451	4,80	
0,500	-0,009	-0,016	-0,017	-2,2500E-4	-3,750E-4	-4,167E-4	99,475	4,80	63,5
0,550	-0,009	-0,021	-0,035	-2,2500E-4	-5,000E-4	-8,333E-4	99,495	4,80	
0,600	-0,011	-0,021	-0,017	-2,6250E-4	-5,000E-4	-4,167E-4	99,492	4,78	
0,650	-0,013	-0,021	-0,017	-3,0000E-4	-5,000E-4	-4,167E-4	99,486	4,77	
0,700	-0,013	-0,021	-0,035	-3,0000E-4	-5,000E-4	-8,333E-4	99,466	4,77	
0,750	-0,014	-0,026	2,776E-16	-3,3750E-4	-6,250E-4	0,000	99,488	4,77	
0,800	-0,016	-0,026	0,087	-3,7500E-4	-6,250E-4	0,002	99,503	4,75	
0,850	-0,017	-0,016	0,157	-4,1250E-4	-3,750E-4	0,004	99,512	4,75	
0,900	-0,017	-0,005	0,122	-4,1250E-4	-1,250E-4	0,003	99,492	4,74	
0,950	-0,017	0,000	0,017	-4,1250E-4	0,000	4,167E-4	99,499	4,73	
1,000	-0,017	-0,005	-0,070	-4,1250E-4	-1,250E-4	-0,002	99,497	4,73	63,5
1,050	-0,017	-0,010	-0,087	-4,1250E-4	-2,500E-4	-0,002	99,455	4,72	
1,100	-0,019	-0,016	-0,052	-4,5000E-4	-3,750E-4	-0,001	99,486	4,72	
1,150	-0,019	-0,016	-0,017	-4,5000E-4	-3,750E-4	-4,167E-4	99,512	4,70	
1,200	-0,020	-0,016	0,017	-4,8750E-4	-3,750E-4	4,167E-4	99,495	4,70	
1,250	-0,020	-0,016	0,035	-4,8750E-4	-3,750E-4	8,333E-4	99,473	4,70	
1,300	-0,022	-0,010	0,035	-5,2500E-4	-2,500E-4	8,333E-4	99,508	4,68	
1,350	-0,022	-0,010	0,000	-5,2500E-4	-2,500E-4	-3,795E-18	99,475	4,68	
1,400	-0,022	-0,010	-0,035	-5,2500E-4	-2,500E-4	-8,333E-4	99,484	4,67	
