Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
0,000	0,000			0,0000			99,512	10,06	87,0
0,050	-0,002	-0,031		-3,7500E-5	-7,500E-4		99,547	10,06	
0,100	-0,003	-0,031	-1,388E-16	-7,5000E-5	-7,500E-4	2,168E-18	99,534	10,07	
0,150	-0,005	-0,031	6,939E-17	-1,1250E-4	-7,500E-4	0,000	99,543	10,06	
0,200	-0,006	-0,031	6,939E-17	-1,5000E-4	-7,500E-4	0,000	99,545	10,07	
0,250	-0,008	-0,031	0,017	-1,8750E-4	-7,500E-4	4,167E-4	99,536	10,07	
0,300	-0,009	-0,031	0,052	-2,2500E-4	-7,500E-4	0,001	99,543	10,07	
0,350	-0,011	-0,026	0,070	-2,6250E-4	-6,250E-4	0,002	99,554	10,07	
0,400	-0,013	-0,021	0,035	-3,0000E-4	-5,000E-4	8,333E-4	99,516	10,07	
0,450	-0,013	-0,021	-0,035	-3,0000E-4	-5,000E-4	-8,333E-4	99,534	10,07	
0,500	-0,014	-0,026	-0,070	-3,3750E-4	-6,250E-4	-0,002	99,514	10,08	87,0
0,550	-0,016	-0,031	-0,035	-3,7500E-4	-7,500E-4	-8,333E-4	99,516	10,07	
0,600	-0,017	-0,031	0,035	-4,1250E-4	-7,500E-4	8,333E-4	99,534	10,08	
0,650	-0,019	-0,026	0,070	-4,5000E-4	-6,250E-4	0,002	99,514	10,08	
0,700	-0,020	-0,021	0,035	-4,8750E-4	-5,000E-4	8,333E-4	99,532	10,08	
0,750	-0,020	-0,021	-0,017	-4,8750E-4	-5,000E-4	-4,167E-4	99,484	10,08	
0,800	-0,022	-0,026	-0,017	-5,2500E-4	-6,250E-4	-4,167E-4	99,543	10,08	
0,850	-0,024	-0,026	0,017	-5,6250E-4	-6,250E-4	4,167E-4	99,525	10,08	
0,900	-0,025	-0,021	0,017	-6,0000E-4	-5,000E-4	4,167E-4	99,519	10,08	
0,950	-0,025	-0,021	-0,035	-6,0000E-4	-5,000E-4	-8,333E-4	99,499	10,08	
1,000	-0,027	-0,026	-0,052	-6,3750E-4	-6,250E-4	-0,001	99,549	10,08	86,9
1,050	-0,028	-0,031	0,000	-6,7500E-4	-7,500E-4	8,674E-18	99,530	10,09	
1,100	-0,030	-0,026	0,052	-7,1250E-4	-6,250E-4	0,001	99,538	10,08	
1,150	-0,031	-0,021	0,035	-7,5000E-4	-5,000E-4	8,333E-4	99,510	10,09	
1,200	-0,031	-0,021	-0,017	-7,5000E-4	-5,000E-4	-4,167E-4	99,558	10,08	
1,250	-0,033	-0,026	-0,017	-7,8750E-4	-6,250E-4	-4,167E-4	99,499	10,09	
1,300	-0,035	-0,026	0,017	-8,2500E-4	-6,250E-4	4,167E-4	99,512	10,09	
1,350	-0,036	-0,021	0,035	-8,6250E-4	-5,000E-4	8,333E-4	99,554	10,10	
1,400	-0,036	-0,021	0,017	-8,6250E-4	-5,000E-4	4,167E-4	99,534	10,09	
1,450	-0,038	-0,021	-6,939E-17	-9,0000E-4	-5,000E-4	-2,168E-18	99,540	10,09	
1,500	-0,039	-0,021	-0,017	-9,3750E-4	-5,000E-4	-4,167E-4	99,540	10,09	86,9
1,550	-0,039	-0,021	-0,035	-9,3750E-4	-5,000E-4	-8,333E-4	99,538	10,09	
1,600	-0,041	-0,026	-0,017	-9,7500E-4	-6,250E-4	-4,167E-4	99,567	10,10	
1,650	-0,042	-0,026	0,017	-0,0010	-6,250E-4	4,167E-4	99,525	10,10	
1,700	-0,044	-0,021	0,035	-0,0010	-5,000E-4	8,333E-4	99,582	10,11	
1,750	-0,044	-0,021	0,017	-0,0010	-5,000E-4	4,167E-4	99,512	10,10	
1,800	-0,046	-0,021	0,017	-0,0011	-5,000E-4	4,167E-4	99,516	10,11	
1,850	-0,047	-0,021	0,035	-0,0011	-5,000E-4	8,333E-4	99,505	10,10	
1,900	-0,047	-0,016	0,017	-0,0011	-3,750E-4	4,167E-4	99,514	10,11	
1,950	-0,049	-0,016	-0,017	-0,0012	-3,750E-4	-4,167E-4	99,519	10,12	
2,000	-0,049	-0,021	-0,035	-0,0012	-5,000E-4	-8,333E-4	99,514	10,11	86,9
2,050	-0,050	-0,021	-0,017	-0,0012	-5,000E-4	-4,167E-4	99,532	10,11	
2,100	-0,052	-0,021	3,469E-17	-0,0012	-5,000E-4	-1,301E-17	99,567	10,11	
2,150	-0,052	-0,021	1,388E-16	-0,0012	-5,000E-4	3,253E-18	99,532	10,11	
2,200	-0,053	-0,021	1,735E-16	-0,0013	-5,000E-4	1,843E-17	99,530	10,12	
2,250	-0,055	-0,021	1,735E-16	-0,0013	-5,000E-4	1,084E-17	99,525	10,11	
2,300	-0,055	-0,021	-1,735E-16	-0,0013	-5,000E-4	-1,084E-17	99,525	10,12	
