Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
0,000	0,000			0,0000			99,475	6,92	81,3
0,050	0,000	0,000		0,0000	0,000		99,464	6,92	
0,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,455	6,93	
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,455	6,93	
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,477	6,92	
0,250	0,000	0,000	-0,017	0,0000	0,000	-4,167E-4	99,490	6,92	
0,300	0,000	0,000	-0,052	0,0000	0,000	-0,001	99,468	6,92	
0,350	0,000	-0,005	-0,070	0,0000	-1,250E-4	-0,002	99,488	6,92	
0,400	0,000	-0,010	-0,035	0,0000	-2,500E-4	-8,333E-4	99,475	6,93	
0,450	-0,002	-0,010	0,035	-3,7500E-5	-2,500E-4	8,333E-4	99,453	6,93	
0,500	-0,002	-0,005	0,070	-3,7500E-5	-1,250E-4	0,002	99,488	6,92	81,3
0,550	-0,002	0,000	0,052	-3,7500E-5	0,000	0,001	99,503	6,92	
0,600	-0,002	0,000	0,017	-3,7500E-5	0,000	4,167E-4	99,479	6,93	
0,650	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	99,512	6,92	
0,700	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	99,449	6,92	
0,750	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	99,475	6,92	
0,800	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	99,457	6,93	
0,850	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	99,495	6,93	
0,900	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	99,462	6,92	
0,950	-0,002	0,000	-0,017	-3,7500E-5	0,000	-4,167E-4	99,488	6,92	
1,000	-0,002	0,000	-0,052	-3,7500E-5	0,000	-0,001	99,462	6,92	81,3
1,050	-0,002	-0,005	-0,070	-3,7500E-5	-1,250E-4	-0,002	99,486	6,93	
1,100	-0,002	-0,010	-0,035	-3,7500E-5	-2,500E-4	-8,333E-4	99,492	6,93	
1,150	-0,003	-0,010	0,035	-7,5000E-5	-2,500E-4	8,333E-4	99,473	6,93	
1,200	-0,003	-0,005	0,070	-7,5000E-5	-1,250E-4	0,002	99,475	6,93	
1,250	-0,003	0,000	0,052	-7,5000E-5	0,000	0,001	99,468	6,94	
1,300	-0,003	0,000	0,017	-7,5000E-5	0,000	4,167E-4	99,466	6,94	
1,350	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,484	6,93	
1,400	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,479	6,93	
1,450	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,479	6,93	
1,500	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,486	6,94	81,3
1,550	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,505	6,94	
1,600	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,477	6,94	
1,650	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,481	6,93	
1,700	-0,003	0,000	-0,017	-7,5000E-5	0,000	-4,167E-4	99,488	6,94	
1,750	-0,003	0,000	-0,052	-7,5000E-5	0,000	-0,001	99,468	6,94	
1,800	-0,003	-0,005	-0,070	-7,5000E-5	-1,250E-4	-0,002	99,486	6,93	
1,850	-0,003	-0,010	-0,035	-7,5000E-5	-2,500E-4	-8,333E-4	99,499	6,94	
1,900	-0,005	-0,010	0,035	-1,1250E-4	-2,500E-4	8,333E-4	99,475	6,94	
1,950	-0,005	-0,005	0,070	-1,1250E-4	-1,250E-4	0,002	99,453	6,94	
2,000	-0,005	0,000	0,052	-1,1250E-4	0,000	0,001	99,484	6,95	81,3
2,050	-0,005	0,000	0,017	-1,1250E-4	0,000	4,167E-4	99,477	6,94	
2,100	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,512	6,95	
2,150	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,471	6,95	
2,200	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,490	6,95	
2,250	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,484	6,95	
2,300	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,519	6,95	
2,350	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,486	6,96	
2,400	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,488	6,95	
2,450	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,477	6,95	
2,500	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,512	6,94	81,3
2,550	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,534	6,95	
2,600	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,466	6,96	
2,650	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,462	6,95	
2,700	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,481	6,95	
2,750	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,499	6,95	
2,800	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,449	6,95	
2,850	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,460	6,95	
2,900	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,490	6,96	
2,950	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,453	6,96	
3,000	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,525	6,96	81,3
3,050	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,497	6,95	
3,100	-0,005	0,000	0,000	-1,1250E-4	0,000	0,000	99,488	6,96	
