Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
4,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,03	62,2
4,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,03	
4,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,03	
4,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,03	
4,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,03	
4,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,503	4,03	
4,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,486	4,03	
4,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,527	4,03	
4,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,04	
4,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	4,03	
4,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,479	4,03	62,2
4,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,03	
4,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,03	
4,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,03	
4,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,492	4,03	
4,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,516	4,03	
4,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,481	4,04	
4,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,519	4,04	
4,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,523	4,03	
4,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	4,03	
5,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,466	4,04	62,2
5,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,501	4,04	
5,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	4,03	
5,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,479	4,03	
5,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	4,05	
5,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,04	
5,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,512	4,04	
5,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,486	4,04	
5,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,481	4,04	
5,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,04	
5,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	4,03	62,1
5,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,523	4,04	
5,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,495	4,04	
5,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,477	4,04	
5,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,525	4,05	
5,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,486	4,05	
5,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,05	
5,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,05	
5,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,503	4,04	
5,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,503	4,04	
6,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,492	4,04	62,1
6,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	4,04	
6,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,05	
6,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,486	4,05	
6,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,05	
6,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,523	4,05	
6,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,501	4,05	
6,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,05	
6,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,505	4,05	
6,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,503	4,05	
6,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,06	62,1
6,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,06	
6,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	4,05	
6,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	4,06	
6,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	4,05	
6,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	4,05	
6,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,519	4,06	
6,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,512	4,06	
6,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,495	4,06	
6,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,499	4,05	
7,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,06	62,1
7,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,06	
7,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	4,06	
7,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,06	
7,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,512	4,06	
7,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,486	4,06	
7,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	4,06	
7,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,519	4,06	
7,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,495	4,06	
7,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,534	4,06	
7,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,07	62,1
7,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,06	
7,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,05	
7,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,460	4,05	
7,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,519	4,06	
7,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,527	4,06	
7,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,516	4,06	
7,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,464	4,06	
7,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,501	4,07	
7,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	4,06	
8,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,06	62,1
8,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	4,06	
8,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	4,07	
8,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	4,06	
8,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,519	4,06	
8,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	4,07	
8,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,07	
8,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,501	4,06	
8,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,06	
8,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,06	
8,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,06	62,1
8,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,499	4,06	
8,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,481	4,06	
8,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,523	4,06	
8,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,527	4,07	
8,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	4,07	
8,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,06	
8,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,481	4,06	
8,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,06	
8,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,512	4,07	
9,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,525	4,07	62,0
9,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,486	4,07	
9,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,519	4,06	
9,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,07	
9,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,07	
9,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,512	4,07	
9,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,07	
9,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,07	
9,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,07	
9,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,516	4,08	
9,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,547	4,07	62,0
9,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,534	4,06	
9,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,538	4,07	
9,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,523	4,07	
9,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,501	4,07	
9,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,505	4,07	
9,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,08	
9,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,523	4,07	
9,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,07	
9,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	4,08	
10,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,505	4,07	62,0
10,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,07	
10,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,534	4,08	
10,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	4,08	
10,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,538	4,08	
10,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	4,07	
10,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,523	4,08	
10,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,08	
10,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,545	4,07	
10,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,545	4,08	
10,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,543	4,07	62,0
10,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,562	4,07	
10,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,578	4,07	
10,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,549	4,06	
10,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,540	4,06	
10,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,549	4,06	
10,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,597	4,06	
10,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,575	4,06	
10,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,571	4,05	
10,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,556	4,05	
11,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,558	4,05	62,0
11,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,560	4,04	
11,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,564	4,03	
11,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,554	4,03	
11,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	4,02	
11,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,578	4,02	
